sym,open,high,low,close,volume,date,time
bitcoin,37192.1,37824,36700.09,37237.66,4215.99647,2021/1/11,1:00:00
bitcoin,37237.67,37411,36123.45,36363.94,6796.573064,2021/1/11,2:00:00
bitcoin,36363.93,36697.97,33600,35438.23,18753.36008,2021/1/11,3:00:00
bitcoin,35438.23,35999.95,34300,35544,9555.241658,2021/1/11,4:00:00
bitcoin,35542.92,35924.19,34500.18,34904.73,7098.497134,2021/1/11,5:00:00
bitcoin,34904.73,34904.73,32550,32872.63,15763.14871,2021/1/11,6:00:00
bitcoin,32843.26,34739.98,32538,34375.34,12674.17128,2021/1/11,7:00:00
bitcoin,34372.25,35919.86,34101.01,35430,8456.95988,2021/1/11,8:00:00
bitcoin,35430,35788.06,34800,35765.98,5625.533362,2021/1/11,9:00:00
bitcoin,35765.98,36360,35238.01,35367.6,6245.55977,2021/1/11,10:00:00
bitcoin,35368.81,35471,34020,34198.56,7167.266632,2021/1/11,11:00:00
bitcoin,34198.55,35110,33308.01,34275.64,9904.293083,2021/1/11,12:00:00
bitcoin,34273.49,34450,32700,32813.71,12794.35087,2021/1/11,13:00:00
bitcoin,32808.92,33770.11,31115,33299.12,23220.78263,2021/1/11,14:00:00
bitcoin,33291.56,33679.74,31415.9,31580,11202.31877,2021/1/11,15:00:00
bitcoin,31582.82,32250,30420,31777.19,20017.08515,2021/1/11,16:00:00
bitcoin,31771.77,33585.17,30701.8,32839.87,16685.08092,2021/1/11,17:00:00
bitcoin,32848.96,33300,32432.32,32562.1,7184.911616,2021/1/11,18:00:00
bitcoin,32562.1,32737.4,31215,32254.62,7289.184361,2021/1/11,19:00:00
bitcoin,32254.63,33465.48,31408.07,33409.8,8540.913647,2021/1/11,20:00:00
bitcoin,33410.75,34466,33076.05,33968.09,9804.011673,2021/1/11,21:00:00
bitcoin,33962.22,34892.74,33650,34359.07,5403.703631,2021/1/11,22:00:00
bitcoin,34361.16,35638.55,34361.16,35404.47,9188.299414,2021/1/11,23:00:00
bitcoin,35410.37,35547.19,34287.34,34929.98,6612.036381,2021/1/12,0:00:00
bitcoin,34929.99,35457,33880,34289.3,5087.44237,2021/1/12,1:00:00
bitcoin,34289.3,34623.87,33677.03,34399.99,4906.329506,2021/1/12,2:00:00
bitcoin,34400,34998.94,34182.24,34984.96,3550.253921,2021/1/12,3:00:00
bitcoin,34984.95,35326.42,34520.69,35287.67,4020.857514,2021/1/12,4:00:00
bitcoin,35284.05,35889,34971.24,35882.68,5053.275954,2021/1/12,5:00:00
bitcoin,35882.68,36348,35720.43,35993.93,6584.657524,2021/1/12,6:00:00
bitcoin,35998.56,36628,35617.67,36413.6,6162.134286,2021/1/12,7:00:00
bitcoin,36413.6,36499.98,35587.86,35773.24,5138.337685,2021/1/12,8:00:00
bitcoin,35773.23,36150.67,35370.21,35925.76,3783.316743,2021/1/12,9:00:00
bitcoin,35925.76,36150.71,34757,35085.77,6437.927506,2021/1/12,10:00:00
bitcoin,35085.76,35841.01,35084.92,35410.99,4770.002252,2021/1/12,11:00:00
bitcoin,35410.99,35688.82,34850,35014.75,4399.509683,2021/1/12,12:00:00
bitcoin,35012.96,35399.7,33250,33291.06,10038.2251,2021/1/12,13:00:00
